label,rundir,ckpt,suite,task,pc_success,n_episodes,eval_s,eval_ep_s,status,timestamp
gd025,roi_fastv_keep050_fv025_l0_9,012000,libero_10,2,100.0,10,684.2139136791229,68.42139143943787,done,2026-07-11 20:05:33
gd025,roi_fastv_keep050_fv025_l0_9,012000,libero_10,8,90.0,10,1084.910483598709,108.49104843139648,done,2026-07-11 20:12:19
gd050,roi_fastv_keep050_fv050,012000,libero_spatial,0,100.0,10,349.4563648700714,34.94563660621643,done,2026-07-11 12:13:46
gd050,roi_fastv_keep050_fv050,012000,libero_spatial,2,100.0,10,399.7525243759155,39.97525253295898,done,2026-07-11 12:14:36
gd050,roi_fastv_keep050_fv050,012000,libero_spatial,3,90.0,10,417.74500131607056,41.774500250816345,done,2026-07-11 12:14:54
gd050,roi_fastv_keep050_fv050,012000,libero_spatial,6,90.0,10,466.2493374347687,46.624933862686156,done,2026-07-11 12:15:42
gd050,roi_fastv_keep050_fv050,012000,libero_spatial,7,100.0,10,476.4188597202301,47.641886019706725,done,2026-07-11 12:15:52
gd050,roi_fastv_keep050_fv050,012000,libero_spatial,4,100.0,10,484.9742023944855,48.49742033481598,done,2026-07-11 12:16:00
gd050,roi_fastv_keep050_fv050,012000,libero_spatial,5,90.0,10,490.65439224243164,49.06543929576874,done,2026-07-11 12:16:05
gd050,roi_fastv_keep050_fv050,012000,libero_spatial,1,80.0,10,499.6553113460541,49.96553122997284,done,2026-07-11 12:16:16
gd050,roi_fastv_keep050_fv050,012000,libero_object,2,100.0,10,289.0567705631256,28.905677127838135,done,2026-07-11 12:23:16
gd050,roi_fastv_keep050_fv050,012000,libero_object,1,100.0,10,307.9575340747833,30.795753502845763,done,2026-07-11 12:23:36
gd050,roi_fastv_keep050_fv050,012000,libero_object,4,100.0,10,328.1347186565399,32.81347191333771,done,2026-07-11 12:23:56
gd050,roi_fastv_keep050_fv050,012000,libero_object,0,100.0,10,337.3462505340576,33.73462514877319,done,2026-07-11 12:24:05
gd050,roi_fastv_keep050_fv050,012000,libero_object,5,100.0,10,346.6673676967621,34.66673684120178,done,2026-07-11 12:24:14
gd050,roi_fastv_keep050_fv050,012000,libero_object,3,90.0,10,364.2543683052063,36.4254369020462,done,2026-07-11 12:24:30
gd050,roi_fastv_keep050_fv050,012000,libero_spatial,8,90.0,10,431.12071466445923,43.112071537971495,done,2026-07-11 12:25:36
gd050,roi_fastv_keep050_fv050,012000,libero_spatial,9,100.0,10,485.32016348838806,48.53201642036438,done,2026-07-11 12:26:33
gd050,roi_fastv_keep050_fv050,012000,libero_object,9,100.0,10,307.0202832221985,30.702028393745422,done,2026-07-11 12:33:52
gd050,roi_fastv_keep050_fv050,012000,libero_object,8,100.0,10,351.67585730552673,35.167585778236386,done,2026-07-11 12:34:36
gd050,roi_fastv_keep050_fv050,012000,libero_object,7,90.0,10,352.86282229423523,35.2862823009491,done,2026-07-11 12:34:38
gd050,roi_fastv_keep050_fv050,012000,libero_goal,1,100.0,10,362.94992685317993,36.294992780685426,done,2026-07-11 12:34:49
gd050,roi_fastv_keep050_fv050,012000,libero_object,6,100.0,10,365.2615523338318,36.52615532875061,done,2026-07-11 12:34:51
gd050,roi_fastv_keep050_fv050,012000,libero_goal,2,100.0,10,382.64695930480957,38.26469600200653,done,2026-07-11 12:35:07
gd050,roi_fastv_keep050_fv050,012000,libero_goal,0,100.0,10,436.55520391464233,43.655520462989806,done,2026-07-11 12:36:00
gd050,roi_fastv_keep050_fv050,012000,libero_goal,3,100.0,10,644.5601570606232,64.4560157775879,done,2026-07-11 12:39:30
gd050,roi_fastv_keep050_fv050,012000,libero_goal,7,100.0,10,337.5629768371582,33.756297779083255,done,2026-07-11 12:47:18
gd050,roi_fastv_keep050_fv050,012000,libero_goal,8,100.0,10,338.1524546146393,33.81524558067322,done,2026-07-11 12:47:20
gd050,roi_fastv_keep050_fv050,012000,libero_goal,4,100.0,10,370.0927646160126,37.00927653312683,done,2026-07-11 12:47:51
gd050,roi_fastv_keep050_fv050,012000,libero_goal,6,100.0,10,386.59368801116943,38.659368896484374,done,2026-07-11 12:48:08
gd050,roi_fastv_keep050_fv050,012000,libero_goal,5,100.0,10,494.50746726989746,49.450746822357175,done,2026-07-11 12:49:56
gd050,roi_fastv_keep050_fv050,012000,libero_10,1,100.0,10,553.0290396213531,55.30290400981903,done,2026-07-11 12:50:53
gd050,roi_fastv_keep050_fv050,012000,libero_goal,9,60.0,10,606.6981317996979,60.66981327533722,done,2026-07-11 12:51:49
gd050,roi_fastv_keep050_fv050,012000,libero_10,0,100.0,10,609.1131319999695,60.91131324768067,done,2026-07-11 12:51:51
gd050,roi_fastv_keep050_fv050,012000,libero_10,5,100.0,10,343.5234353542328,34.35234360694885,done,2026-07-11 12:59:45
gd050,roi_fastv_keep050_fv050,012000,libero_10,4,100.0,10,422.8926546573639,42.28926556110382,done,2026-07-11 13:01:06
gd050,roi_fastv_keep050_fv050,012000,libero_10,3,100.0,10,515.4761786460876,51.54761793613434,done,2026-07-11 13:02:38
gd050,roi_fastv_keep050_fv050,012000,libero_10,6,90.0,10,519.961207151413,51.99612078666687,done,2026-07-11 13:02:42
gd050,roi_fastv_keep050_fv050,012000,libero_10,9,100.0,10,536.2431020736694,53.62431030273437,done,2026-07-11 13:03:00
gd050,roi_fastv_keep050_fv050,012000,libero_10,7,100.0,10,549.0228173732758,54.90228178501129,done,2026-07-11 13:03:11
gd050,roi_fastv_keep050_fv050,012000,libero_10,2,100.0,10,658.3774619102478,65.83774623870849,done,2026-07-11 13:05:00
gd050,roi_fastv_keep050_fv050,012000,libero_10,8,80.0,10,1149.5159802436829,114.95159814357757,done,2026-07-11 13:13:13
pred025,roi_predict_keep050_fv025_l09,012000,libero_spatial,6,100.0,10,613.3994643688202,61.33994650840759,done,2026-07-11 15:08:18
pred025,roi_predict_keep050_fv025_l09,012000,libero_spatial,2,100.0,10,636.0013899803162,63.60013904571533,done,2026-07-11 15:08:41
pred025,roi_predict_keep050_fv025_l09,012000,libero_spatial,5,80.0,10,686.1402604579926,68.61402611732483,done,2026-07-11 15:09:30
pred025,roi_predict_keep050_fv025_l09,012000,libero_spatial,0,100.0,10,709.5139441490173,70.95139451026917,done,2026-07-11 15:09:54
pred025,roi_predict_keep050_fv025_l09,012000,libero_spatial,7,100.0,10,756.4099278450012,75.64099283218384,done,2026-07-11 15:10:41
pred025,roi_predict_keep050_fv025_l09,012000,libero_spatial,3,90.0,10,782.9674429893494,78.29674437046052,done,2026-07-11 15:11:07
pred025,roi_predict_keep050_fv025_l09,012000,libero_spatial,1,90.0,10,822.8232843875885,82.28232851028443,done,2026-07-11 15:11:47
pred025,roi_predict_keep050_fv025_l09,012000,libero_spatial,4,90.0,10,907.9145712852478,90.79145720005036,done,2026-07-11 15:13:13
pred025,roi_predict_keep050_fv025_l09,012000,libero_object,2,100.0,10,369.11065769195557,36.91106584072113,done,2026-07-11 15:21:33
pred025,roi_predict_keep050_fv025_l09,012000,libero_object,1,100.0,10,425.0214476585388,42.50214486122131,done,2026-07-11 15:22:29
pred025,roi_predict_keep050_fv025_l09,012000,libero_object,5,100.0,10,524.9999103546143,52.499991106987,done,2026-07-11 15:24:10
pred025,roi_predict_keep050_fv025_l09,012000,libero_object,0,100.0,10,593.6901807785034,59.369018125534055,done,2026-07-11 15:25:18
pred025,roi_predict_keep050_fv025_l09,012000,libero_object,3,90.0,10,606.1795787811279,60.61795797348022,done,2026-07-11 15:25:31
pred025,roi_predict_keep050_fv025_l09,012000,libero_spatial,8,100.0,10,614.8808267116547,61.48808274269104,done,2026-07-11 15:25:39
pred025,roi_predict_keep050_fv025_l09,012000,libero_object,4,100.0,10,623.8496544361115,62.38496551513672,done,2026-07-11 15:25:48
pred025,roi_predict_keep050_fv025_l09,012000,libero_spatial,9,100.0,10,744.6849634647369,74.46849644184113,done,2026-07-11 15:27:49
pred025,roi_predict_keep050_fv025_l09,012000,libero_object,8,100.0,10,435.56718134880066,43.55671820640564,done,2026-07-11 15:37:16
pred025,roi_predict_keep050_fv025_l09,012000,libero_object,7,100.0,10,473.10269689559937,47.31026978492737,done,2026-07-11 15:37:54
pred025,roi_predict_keep050_fv025_l09,012000,libero_object,9,100.0,10,516.4527342319489,51.645273494720456,done,2026-07-11 15:38:38
pred025,roi_predict_keep050_fv025_l09,012000,libero_object,6,100.0,10,542.9484915733337,54.29484920501709,done,2026-07-11 15:39:04
pred025,roi_predict_keep050_fv025_l09,012000,libero_goal,2,100.0,10,560.2705714702606,56.02705721855163,done,2026-07-11 15:39:26
pred025,roi_predict_keep050_fv025_l09,012000,libero_goal,1,100.0,10,655.5596516132355,65.55596523284912,done,2026-07-11 15:40:56
pred025,roi_predict_keep050_fv025_l09,012000,libero_goal,0,100.0,10,672.6480264663696,67.26480269432068,done,2026-07-11 15:41:13
pred025,roi_predict_keep050_fv025_l09,012000,libero_goal,3,70.0,10,926.5410974025726,92.6541098356247,done,2026-07-11 15:45:28
pred025,roi_predict_keep050_fv025_l09,012000,libero_goal,6,90.0,10,547.6636343002319,54.766363525390624,done,2026-07-11 15:56:47
pred025,roi_predict_keep050_fv025_l09,012000,libero_10,1,100.0,10,652.4131760597229,65.24131767749786,done,2026-07-11 15:58:32
pred025,roi_predict_keep050_fv025_l09,012000,libero_goal,5,90.0,10,654.8314454555511,65.48314468860626,done,2026-07-11 15:58:35
pred025,roi_predict_keep050_fv025_l09,012000,libero_goal,4,100.0,10,657.7643613815308,65.77643618583679,done,2026-07-11 15:58:37
pred025,roi_predict_keep050_fv025_l09,012000,libero_goal,7,100.0,10,669.8145642280579,66.98145651817322,done,2026-07-11 15:58:50
pred025,roi_predict_keep050_fv025_l09,012000,libero_10,0,100.0,10,693.4915399551392,69.34915404319763,done,2026-07-11 15:59:14
pred025,roi_predict_keep050_fv025_l09,012000,libero_goal,8,90.0,10,722.147078037262,72.21470789909363,done,2026-07-11 15:59:43
pred025,roi_predict_keep050_fv025_l09,012000,libero_goal,9,70.0,10,778.7309000492096,77.87309007644653,done,2026-07-11 16:00:39
pred025,roi_predict_keep050_fv025_l09,012000,libero_10,6,100.0,10,466.2574782371521,46.62574791908264,done,2026-07-11 16:10:37
pred025,roi_predict_keep050_fv025_l09,012000,libero_10,4,90.0,10,502.4218714237213,50.24218721389771,done,2026-07-11 16:11:13
pred025,roi_predict_keep050_fv025_l09,012000,libero_10,5,100.0,10,548.2013258934021,54.82013266086578,done,2026-07-11 16:11:58
pred025,roi_predict_keep050_fv025_l09,012000,libero_10,9,100.0,10,659.5280570983887,65.95280582904816,done,2026-07-11 16:13:50
pred025,roi_predict_keep050_fv025_l09,012000,libero_10,7,100.0,10,760.6723079681396,76.06723086833954,done,2026-07-11 16:15:31
