keep_frac,vision_ms,llm_prefill_ms,flow_ms_per_step,total_ms,infer_per_s,timestamp
1.00,238,280,20.1,598,1.67,2026-06-18 02:09:10
0.75,164,237,19.8,480,2.08,2026-06-18 02:09:16
0.50,97,187,19.2,360,2.77,2026-06-18 02:09:20
0.25,51,131,18.1,255,3.92,2026-06-18 02:09:24
